sequence,target,function
"[15, 20, 13, 35, 33, 48]",68,padovan
"[46, 48, 29, 123, 200, 352]",675,tribonacci
"[37, 6, 35, 78, 119, 232]",429,tribonacci
"[38, 4, 42, 84, 130, 256]",470,tribonacci
"[15, 20, 8, 35, 28, 43]",63,padovan
"[49, 40, 10, 99, 149, 258]",506,tribonacci
"[1, 7, 43, 51, 101, 195]",347,tribonacci
"[13, 11, 36, 60, 107, 203]",370,tribonacci
"[49, 62, 186, 199, 597, 610]",1830,alternating_sequence
"[94, 56, 18, -20, -58, -96]",-134,arithmetic
"[95, 138, 181, 224, 267, 310]",353,arithmetic
"[25, 34, 45, 104, 183, 332]",619,tribonacci
"[38, 85, 179, 367, 743, 1495]",2999,linear_recursive
"[29, 26, 35, 32, 41, 38]",47,alternating_add_subtract
"[28, 1, -26, -53, -80, -107]",-134,arithmetic
"[39, 21, 46, 106, 173, 325]",604,tribonacci
"[5, 1, 14, 19, 20, 34]",53,generate_sequence
"[77, 113, 149, 185, 221, 257]",293,arithmetic
"[11, 5, 10, 16, 15, 26]",31,padovan
"[37, 156, 632, 2536, 10152, 40616]",162472,linear_recursive
"[10, 11, 13, 21, 24, 34]",45,padovan
"[21, 24, 72, 75, 225, 228]",684,alternating_sequence
"[42, 5, 52, 109, 270, 649]",1568,pell
"[43, 17, 49, 109, 175, 333]",617,tribonacci
"[22, 13, 48, 109, 266, 641]",1548,pell
"[3, 23, 46, 66, 132, 152]",304,alternating_sequence
"[9, 19, 2, 11, 30, 32]",43,generate_sequence
"[45, 1, 47, 95, 237, 569]",1375,pell
"[18, 1, 20, 19, 21, 39]",40,padovan
"[15, 76, 320, 1296, 5200, 20816]",83280,linear_recursive
"[4, 38, 208, 1058, 5308, 26558]",132808,linear_recursive
"[6, 14, 11, 17, 31, 42]",59,generate_sequence
"[64, 59, 69, 64, 74, 69]",79,alternating_add_subtract
"[63, 68, 73, 78, 83, 88]",93,arithmetic
"[32, 99, 300, 903, 2712, 8139]",24420,linear_recursive
"[5, 5, 19, 24, 29, 48]",72,generate_sequence
"[5, 37, 165, 677, 2725, 10917]",43685,linear_recursive
"[16, 2, 16, 18, 18, 34]",36,padovan
"[16, 29, 19, 64, 112, 195]",371,tribonacci
"[30, 36, 40, 106, 182, 328]",616,tribonacci
"[8, 47, 102, 251, 604, 1459]",3522,pell
"[30, 38, 114, 122, 366, 374]",1122,alternating_sequence
"[11, 7, 18, 18, 25, 36]",43,padovan
"[45, 231, 1161, 5811, 29061, 145311]",726561,linear_recursive
"[29, 40, 6, 75, 121, 202]",398,tribonacci
"[10, 5, 2, 12, 17, 19]",31,generate_sequence
"[36, 19, 2, -15, -32, -49]",-66,arithmetic
"[31, 16, 43, 90, 149, 282]",521,tribonacci
"[69, 75, 81, 87, 93, 99]",105,arithmetic
"[9, 9, 18, 27, 36, 54]",81,generate_sequence
"[68, 61, 67, 60, 66, 59]",65,alternating_add_subtract
"[15, 13, 20, 48, 81, 149]",278,tribonacci
"[38, 17, 47, 102, 166, 315]",583,tribonacci
"[1, 8, 12, 9, 20, 21]",29,padovan
"[19, 24, 24, 67, 115, 206]",388,tribonacci
"[18, 1, -16, -33, -50, -67]",-84,arithmetic
"[7, 16, 21, 44, 81, 146]",271,tribonacci
"[23, 13, 22, 12, 21, 11]",20,alternating_add_subtract
"[6, 7, 20, 13, 27, 33]",40,padovan
"[2, 15, 45, 58, 174, 187]",561,alternating_sequence
"[6, 18, 42, 90, 186, 378]",762,linear_recursive
"[10, 8, 19, 18, 27, 37]",45,padovan
"[27, 42, 13, 82, 137, 232]",451,tribonacci
"[36, 46, 92, 102, 204, 214]",428,alternating_sequence
"[11, 16, 8, 27, 24, 35]",51,padovan
"[15, 14, 17, 29, 31, 46]",60,padovan
"[50, 157, 478, 1441, 4330, 12997]",38998,linear_recursive
"[19, 14, 10, 29, 43, 53]",82,generate_sequence
"[6, 23, 52, 127, 306, 739]",1784,pell
"[39, 137, 431, 1313, 3959, 11897]",35711,linear_recursive
"[1, 3, 7, 15, 31, 63]",127,linear_recursive
"[1, 20, 4, 5, 25, 29]",34,generate_sequence
"[22, 42, 126, 146, 438, 458]",1374,alternating_sequence
"[29, 36, 43, 50, 57, 64]",71,arithmetic
"[79, 70, 79, 70, 79, 70]",79,alternating_add_subtract
"[50, 58, 116, 124, 248, 256]",512,alternating_sequence
"[67, 62, 68, 63, 69, 64]",70,alternating_add_subtract
"[98, 91, 84, 77, 70, 63]",56,arithmetic
"[26, 24, 30, 28, 34, 32]",38,alternating_add_subtract
"[2, 19, 5, 21, 24, 26]",45,padovan
"[47, 53, 106, 112, 224, 230]",460,alternating_sequence
"[12, 28, 45, 85, 158, 288]",531,tribonacci
"[70, 33, -4, -41, -78, -115]",-152,arithmetic
"[2, 49, 21, 72, 142, 235]",449,tribonacci
"[20, 11, 7, 31, 18, 38]",49,padovan
"[12, 39, 93, 201, 417, 849]",1713,linear_recursive
"[50, 28, 106, 240, 586, 1412]",3410,pell
"[62, 12, -38, -88, -138, -188]",-238,arithmetic
"[3, 6, 18, 9, 24, 27]",33,padovan
"[32, 66, 134, 270, 542, 1086]",2174,linear_recursive
"[18, 19, 20, 21, 22, 23]",24,arithmetic
"[6, 18, 7, 24, 25, 31]",49,padovan
"[8, 38, 128, 398, 1208, 3638]",10928,linear_recursive
"[4, 9, 41, 54, 104, 199]",357,tribonacci
"[7, 40, 172, 700, 2812, 11260]",45052,linear_recursive
"[17, 14, 18, 31, 32, 49]",63,padovan
"[7, 25, 50, 68, 136, 154]",308,alternating_sequence
"[7, 24, 23, 54, 101, 178]",333,tribonacci
"[21, 62, 144, 308, 636, 1292]",2604,linear_recursive
"[15, 14, 13, 28, 42, 55]",83,generate_sequence
"[26, 12, 17, 55, 84, 156]",295,tribonacci
"[16, 20, 56, 132, 320, 772]",1864,pell
"[42, 42, 49, 133, 224, 406]",763,tribonacci
"[3, 16, 7, 19, 23, 26]",42,padovan
"[20, 3, 12, 32, 35, 47]",79,generate_sequence
"[24, 38, 52, 66, 80, 94]",108,arithmetic
"[7, 17, 34, 44, 88, 98]",196,alternating_sequence
"[17, 31, 45, 59, 73, 87]",101,arithmetic
"[29, 26, 29, 26, 29, 26]",29,alternating_add_subtract
"[24, 20, 64, 148, 360, 868]",2096,pell
"[4, 2, 11, 17, 30, 58]",105,tribonacci
"[14, 18, 7, 39, 64, 110]",213,tribonacci
"[57, 53, 56, 52, 55, 51]",54,alternating_add_subtract
"[97, 55, 13, -29, -71, -113]",-155,arithmetic
"[3, 13, 53, 213, 853, 3413]",13653,linear_recursive
"[29, 18, 47, 65, 112, 177]",289,fibonacci
"[68, 63, 73, 68, 78, 73]",83,alternating_add_subtract
"[14, 19, 10, 33, 29, 43]",62,padovan
"[67, 65, 63, 61, 59, 57]",55,arithmetic
"[16, 40, 31, 87, 158, 276]",521,tribonacci
"[7, 1, 5, 8, 6, 13]",14,padovan
"[51, 74, 97, 120, 143, 166]",189,arithmetic
"[82, 81, 82, 81, 82, 81]",82,alternating_add_subtract
"[90, 84, 93, 87, 96, 90]",99,alternating_add_subtract
"[9, 3, 1, 10, 13, 14]",24,generate_sequence
"[28, 20, 26, 18, 24, 16]",22,alternating_add_subtract
"[32, 45, 23, 100, 168, 291]",559,tribonacci
"[19, 19, 16, 54, 89, 159]",302,tribonacci
"[46, 47, 48, 49, 50, 51]",52,arithmetic
"[45, 36, 15, 96, 147, 258]",501,tribonacci
"[5, 16, 8, 21, 24, 29]",45,padovan
"[64, 34, 4, -26, -56, -86]",-116,arithmetic
"[85, 83, 93, 91, 101, 99]",109,alternating_add_subtract
"[23, 45, 38, 106, 189, 333]",628,tribonacci
"[19, 15, 16, 34, 31, 50]",65,padovan
"[12, 6, 17, 29, 35, 52]",81,generate_sequence
"[62, 58, 62, 58, 62, 58]",62,alternating_add_subtract
"[71, 67, 76, 72, 81, 77]",86,alternating_add_subtract
"[40, 10, 50, 60, 110, 170]",280,fibonacci
"[23, 43, 29, 95, 167, 291]",553,tribonacci
"[58, 57, 61, 60, 64, 63]",67,alternating_add_subtract
"[37, 149, 597, 2389, 9557, 38229]",152917,linear_recursive
"[27, 50, 13, 90, 153, 256]",499,tribonacci
"[71, 62, 66, 57, 61, 52]",56,alternating_add_subtract
"[19, 7, 5, 24, 31, 36]",60,generate_sequence
"[28, 17, 6, -5, -16, -27]",-38,arithmetic
"[4, 16, 2, 20, 18, 22]",38,padovan
"[26, 63, 137, 285, 581, 1173]",2357,linear_recursive
"[13, 4, 8, 21, 25, 33]",54,generate_sequence
"[30, 49, 35, 114, 198, 347]",659,tribonacci
"[12, 17, 11, 29, 28, 40]",57,padovan
"[13, 2, 3, 15, 5, 18]",20,padovan
"[2, 19, 9, 21, 28, 30]",49,padovan
"[28, -7, -42, -77, -112, -147]",-182,arithmetic
"[85, 48, 11, -26, -63, -100]",-137,arithmetic
"[7, 10, 20, 27, 37, 57]",84,generate_sequence
"[80, 72, 76, 68, 72, 64]",68,alternating_add_subtract
"[5, 16, 27, 38, 49, 60]",71,arithmetic
"[22, 1, -20, -41, -62, -83]",-104,arithmetic
"[25, 34, 11, 70, 115, 196]",381,tribonacci
"[10, 18, 12, 28, 30, 40]",58,padovan
"[90, 89, 98, 97, 106, 105]",114,alternating_add_subtract
"[46, 9, -28, -65, -102, -139]",-176,arithmetic
"[32, 1, 23, 56, 80, 159]",295,tribonacci
"[19, 8, 18, 37, 45, 63]",100,generate_sequence
"[33, 68, 138, 278, 558, 1118]",2238,linear_recursive
"[74, 53, 32, 11, -10, -31]",-52,arithmetic
"[19, 24, 27, 70, 121, 218]",409,tribonacci
"[2, 16, 10, 12, 28, 38]",50,generate_sequence
"[1, 10, 20, 11, 30, 31]",41,padovan
"[12, 15, 1, 13, 28, 29]",42,generate_sequence
"[7, 7, 3, 14, 10, 17]",24,padovan
"[18, 5, 20, 38, 43, 63]",101,generate_sequence
"[13, 11, 6, 24, 17, 30]",41,padovan
"[54, 42, 30, 18, 6, -6]",-18,arithmetic
"[69, 65, 70, 66, 71, 67]",72,alternating_add_subtract
"[57, 56, 61, 60, 65, 64]",69,alternating_add_subtract
"[16, 87, 442, 2217, 11092, 55467]",277342,linear_recursive
"[16, 6, 7, 23, 29, 36]",59,generate_sequence
"[6, 3, 19, 9, 22, 28]",31,padovan
"[37, 39, 14, 90, 143, 247]",480,tribonacci
"[6, 18, 20, 24, 38, 44]",62,padovan
"[1, 26, 51, 76, 101, 126]",151,arithmetic
"[76, 101, 126, 151, 176, 201]",226,arithmetic
"[14, 38, 86, 182, 374, 758]",1526,linear_recursive
"[23, 0, -23, -46, -69, -92]",-115,arithmetic
"[14, 25, 75, 86, 258, 269]",807,alternating_sequence
"[31, 29, 27, 25, 23, 21]",19,arithmetic
"[30, 70, 150, 310, 630, 1270]",2550,linear_recursive
"[74, 68, 73, 67, 72, 66]",71,alternating_add_subtract
"[7, 50, 93, 136, 179, 222]",265,arithmetic
"[39, 23, 62, 85, 147, 232]",379,fibonacci
"[20, 47, 74, 101, 128, 155]",182,arithmetic
"[99, 93, 102, 96, 105, 99]",108,alternating_add_subtract
"[32, 101, 308, 929, 2792, 8381]",25148,linear_recursive
"[39, 197, 987, 4937, 24687, 123437]",617187,linear_recursive
"[96, 91, 95, 90, 94, 89]",93,alternating_add_subtract
"[14, 41, 17, 72, 130, 219]",421,tribonacci
"[87, 84, 87, 84, 87, 84]",87,alternating_add_subtract
"[81, 112, 143, 174, 205, 236]",267,arithmetic
"[88, 78, 86, 76, 84, 74]",82,alternating_add_subtract
"[92, 57, 22, -13, -48, -83]",-118,arithmetic
"[4, 6, 14, 10, 20, 24]",30,padovan
"[28, 27, 28, 27, 28, 27]",28,alternating_add_subtract
"[1, 14, 20, 21, 35, 55]",76,generate_sequence
"[37, 47, 32, 116, 195, 343]",654,tribonacci
"[14, 11, 9, 25, 20, 34]",45,padovan
"[16, 1, 5, 17, 6, 22]",23,padovan
"[68, 85, 102, 119, 136, 153]",170,arithmetic
"[14, 10, 5, 24, 15, 29]",39,padovan
"[38, 122, 374, 1130, 3398, 10202]",30614,linear_recursive
"[40, 41, 49, 130, 220, 399]",749,tribonacci
"[87, 95, 103, 111, 119, 127]",135,arithmetic
"[1, 9, 19, 20, 29, 48]",68,generate_sequence
"[78, 80, 82, 84, 86, 88]",90,arithmetic
"[16, 24, 25, 65, 114, 204]",383,tribonacci
"[3, 22, 30, 55, 107, 192]",354,tribonacci
"[90, 80, 88, 78, 86, 76]",84,alternating_add_subtract
"[37, 31, 32, 26, 27, 21]",22,alternating_add_subtract
"[45, 45, 21, 111, 177, 309]",597,tribonacci
"[65, 96, 127, 158, 189, 220]",251,arithmetic
"[42, 102, 222, 462, 942, 1902]",3822,linear_recursive
"[8, 10, 6, 18, 16, 24]",34,padovan
"[5, 12, 13, 18, 30, 43]",61,generate_sequence
"[44, 45, 134, 313, 760, 1833]",4426,pell
"[11, 58, 246, 998, 4006, 16038]",64166,linear_recursive
"[81, 78, 81, 78, 81, 78]",81,alternating_add_subtract
"[91, 131, 171, 211, 251, 291]",331,arithmetic
"[16, 13, 2, 29, 15, 31]",44,padovan
"[14, 14, 19, 33, 47, 66]",99,generate_sequence
"[42, 23, 33, 98, 154, 285]",537,tribonacci
"[22, 30, 13, 65, 108, 186]",359,tribonacci
"[47, 34, 21, 8, -5, -18]",-31,arithmetic
"[22, 9, 44, 75, 128, 247]",450,tribonacci
"[8, 10, 19, 18, 29, 37]",47,padovan
"[33, 114, 357, 1086, 3273, 9834]",29517,linear_recursive
"[18, 5, 6, 24, 29, 35]",59,generate_sequence
"[77, 71, 79, 73, 81, 75]",83,alternating_add_subtract
"[11, 6, 1, 12, 18, 19]",31,generate_sequence
"[31, 173, 883, 4433, 22183, 110933]",554683,linear_recursive
"[36, 47, 130, 307, 744, 1795]",4334,pell
"[29, 12, 47, 88, 147, 282]",517,tribonacci
"[5, 13, 7, 12, 25, 32]",44,generate_sequence
"[3, 13, 19, 22, 35, 54]",76,generate_sequence
"[18, 6, 15, 33, 39, 54]",87,generate_sequence
"[15, 14, 9, 24, 38, 47]",71,generate_sequence
"[19, 12, 4, 31, 16, 35]",47,padovan
"[48, 43, 44, 39, 40, 35]",36,alternating_add_subtract
"[4, 3, 3, 2, 1, -1]",-4,fib_minus_const
"[28, 42, 84, 98, 196, 210]",420,alternating_sequence
"[19, 7, 9, 28, 35, 44]",72,generate_sequence
"[18, 70, 226, 694, 2098, 6310]",18946,linear_recursive
"[32, 163, 818, 4093, 20468, 102343]",511718,linear_recursive
"[34, 24, 27, 17, 20, 10]",13,alternating_add_subtract
"[14, 12, 44, 70, 126, 240]",436,tribonacci
"[21, 18, 21, 18, 21, 18]",21,alternating_add_subtract
"[4, 9, 2, 13, 11, 15]",24,padovan
"[5, 42, 89, 220, 529, 1278]",3085,pell
"[13, 25, 6, 44, 75, 125]",244,tribonacci
"[3, 19, 12, 22, 31, 34]",53,padovan
"[34, 43, 86, 95, 190, 199]",398,alternating_sequence
"[42, 10, 62, 134, 330, 794]",1918,pell
"[22, 35, 105, 118, 354, 367]",1101,alternating_sequence
"[19, 28, 37, 46, 55, 64]",73,arithmetic
"[20, 12, 2, 32, 14, 34]",46,padovan
"[12, 7, 49, 68, 124, 241]",433,tribonacci
"[19, 16, 51, 118, 287, 692]",1671,pell
"[1, 16, 17, 34, 67, 118]",219,tribonacci
"[46, 25, 1, 72, 98, 171]",341,tribonacci
"[8, 8, 2, 16, 10, 18]",26,padovan
"[7, 4, 7, 4, 7, 4]",7,alternating_add_subtract
"[32, 41, 114, 269, 652, 1573]",3798,pell
"[8, 12, 17, 25, 37, 54]",79,generate_sequence
"[41, 37, 39, 35, 37, 33]",35,alternating_add_subtract
"[9, 12, 7, 21, 19, 28]",40,padovan
"[45, 35, 21, 101, 157, 279]",537,tribonacci
"[45, 5, 33, 83, 121, 237]",441,tribonacci
"[13, 12, 17, 16, 21, 20]",25,alternating_add_subtract
"[3, 16, 19, 22, 38, 57]",79,generate_sequence
"[18, 2, 12, 20, 14, 32]",34,padovan
"[29, 47, 141, 159, 477, 495]",1485,alternating_sequence
"[23, 125, 635, 3185, 15935, 79685]",398435,linear_recursive
"[26, 37, 74, 85, 170, 181]",362,alternating_sequence
"[40, 41, 122, 285, 692, 1669]",4030,pell
"[83, 114, 145, 176, 207, 238]",269,arithmetic
"[2, 12, 16, 14, 28, 30]",42,padovan
"[44, 39, 21, 104, 164, 289]",557,tribonacci
"[20, 14, 9, 29, 43, 52]",81,generate_sequence
"[26, 32, 25, 83, 140, 248]",471,tribonacci
"[1, 3, 9, 10, 13, 22]",32,generate_sequence
"[29, 38, 114, 123, 369, 378]",1134,alternating_sequence
"[20, 18, 3, 23, 41, 44]",67,generate_sequence
"[49, 30, 39, 118, 187, 344]",649,tribonacci
"[75, 66, 57, 48, 39, 30]",21,arithmetic
"[34, 51, 204, 221, 884, 901]",3604,alternating_sequence
"[14, 12, 47, 73, 132, 252]",457,tribonacci
"[54, 47, 49, 42, 44, 37]",39,alternating_add_subtract
"[25, 16, 18, 9, 11, 2]",4,alternating_add_subtract
"[3, 35, 23, 61, 119, 203]",383,tribonacci
"[50, 46, 53, 49, 56, 52]",59,alternating_add_subtract
"[12, 5, 8, 17, 13, 25]",30,padovan
"[34, 45, 33, 112, 190, 335]",637,tribonacci
"[23, 41, 105, 251, 607, 1465]",3537,pell
"[12, 9, 14, 11, 16, 13]",18,alternating_add_subtract
"[40, 31, 26, 97, 154, 277]",528,tribonacci
"[33, 40, 31, 104, 175, 310]",589,tribonacci
"[3, 15, 18, 21, 36, 54]",75,generate_sequence
"[18, 12, 6, 0, -6, -12]",-18,arithmetic
"[60, 102, 144, 186, 228, 270]",312,arithmetic
"[21, 19, 59, 137, 333, 803]",1939,pell
"[18, 41, 87, 179, 363, 731]",1467,linear_recursive
"[14, 53, 170, 521, 1574, 4733]",14210,linear_recursive
"[15, 18, 9, 33, 27, 42]",60,padovan
"[8, 14, 3, 11, 25, 28]",39,generate_sequence
"[19, 11, 17, 30, 28, 47]",58,padovan
"[38, 10, 22, 70, 102, 194]",366,tribonacci
"[16, 12, 12, 28, 24, 40]",52,padovan
"[86, 81, 84, 79, 82, 77]",80,alternating_add_subtract
"[10, 12, 15, 25, 37, 52]",77,generate_sequence
"[17, 17, 8, 25, 42, 50]",75,generate_sequence
"[18, 16, 44, 78, 138, 260]",476,tribonacci
"[35, 8, 45, 88, 141, 274]",503,tribonacci
"[73, 114, 155, 196, 237, 278]",319,arithmetic
"[82, 79, 85, 82, 88, 85]",91,alternating_add_subtract
"[20, 15, 16, 35, 31, 51]",66,padovan
"[73, 64, 70, 61, 67, 58]",64,alternating_add_subtract
"[91, 87, 95, 91, 99, 95]",103,alternating_add_subtract
"[11, 12, 8, 19, 31, 39]",58,generate_sequence
"[43, 218, 1093, 5468, 27343, 136718]",683593,linear_recursive
"[60, 17, -26, -69, -112, -155]",-198,arithmetic
"[67, 65, 67, 65, 67, 65]",67,alternating_add_subtract
"[9, 32, 37, 78, 147, 262]",487,tribonacci
"[9, 7, 7, 16, 14, 23]",30,padovan
"[96, 93, 98, 95, 100, 97]",102,alternating_add_subtract
"[74, 106, 138, 170, 202, 234]",266,arithmetic
"[21, 38, 59, 97, 156, 253]",409,fibonacci
"[13, 14, 11, 24, 38, 49]",73,generate_sequence
"[19, 27, 35, 43, 51, 59]",67,arithmetic
"[22, 16, 24, 18, 26, 20]",28,alternating_add_subtract
"[30, 24, 30, 24, 30, 24]",30,alternating_add_subtract
"[9, 5, 4, 13, 18, 22]",35,generate_sequence
"[18, 11, 13, 29, 24, 42]",53,padovan
"[40, 121, 364, 1093, 3280, 9841]",29524,linear_recursive
"[32, 111, 348, 1059, 3192, 9591]",28788,linear_recursive
"[17, 38, 93, 224, 541, 1306]",3153,pell
"[52, 30, 8, -14, -36, -58]",-80,arithmetic
"[45, 94, 192, 388, 780, 1564]",3132,linear_recursive
"[2, 17, 12, 19, 29, 31]",48,padovan
"[68, 59, 68, 59, 68, 59]",68,alternating_add_subtract
"[2, 19, 40, 99, 238, 575]",1388,pell
"[1, 16, 7, 17, 23, 24]",40,padovan
"[28, 25, 27, 24, 26, 23]",25,alternating_add_subtract
"[3, 13, 33, 49, 95, 177]",321,tribonacci
"[74, 124, 174, 224, 274, 324]",374,arithmetic
"[42, 22, 29, 93, 144, 266]",503,tribonacci
"[7, 12, 10, 19, 22, 29]",41,padovan
"[19, 14, 4, 33, 18, 37]",51,padovan
"[7, 12, 11, 19, 23, 30]",42,padovan
"[31, 10, -11, -32, -53, -74]",-95,arithmetic
"[47, 11, 45, 103, 159, 307]",569,tribonacci
"[18, 11, 19, 29, 30, 48]",59,padovan
"[86, 68, 50, 32, 14, -4]",-22,arithmetic
"[85, 40, -5, -50, -95, -140]",-185,arithmetic
"[1, 13, 15, 14, 28, 29]",42,padovan
"[82, 93, 104, 115, 126, 137]",148,arithmetic
"[19, 31, 43, 55, 67, 79]",91,arithmetic
"[5, 10, 1, 6, 16, 17]",23,generate_sequence
"[5, 2, 6, 11, 13, 19]",30,generate_sequence
"[44, 229, 1154, 5779, 28904, 144529]",722654,linear_recursive
"[21, 31, 52, 83, 135, 218]",353,fibonacci
"[7, 4, 10, 13, 22, 34]",55,fib_minus_const
"[1, 17, 34, 50, 100, 116]",232,alternating_sequence
"[42, 34, 43, 35, 44, 36]",45,alternating_add_subtract
"[9, 10, 10, 19, 29, 39]",58,generate_sequence
"[20, 6, 9, 26, 15, 35]",41,padovan
"[12, 8, 35, 55, 98, 188]",341,tribonacci
"[26, 28, 9, 63, 100, 172]",335,tribonacci
"[92, 131, 170, 209, 248, 287]",326,arithmetic
"[47, 100, 206, 418, 842, 1690]",3386,linear_recursive
"[1, 1, 12, 2, 13, 14]",15,padovan
"[14, 84, 434, 2184, 10934, 54684]",273434,linear_recursive
"[5, 12, 29, 70, 169, 408]",985,pell
"[90, 106, 122, 138, 154, 170]",186,arithmetic
"[6, 13, 17, 23, 36, 53]",76,generate_sequence
"[36, 3, 37, 76, 116, 229]",421,tribonacci
"[24, 84, 264, 804, 2424, 7284]",21864,linear_recursive
"[4, 2, 7, 11, 13, 20]",31,generate_sequence
"[25, 29, 3, 57, 89, 149]",295,tribonacci
"[44, 177, 709, 2837, 11349, 45397]",181589,linear_recursive
"[77, 65, 53, 41, 29, 17]",5,arithmetic
"[1, 17, 7, 18, 24, 25]",42,padovan
"[45, 13, 13, 71, 97, 181]",349,tribonacci
"[73, 71, 69, 67, 65, 63]",61,arithmetic
"[37, 35, 36, 34, 35, 33]",34,alternating_add_subtract
"[60, 75, 90, 105, 120, 135]",150,arithmetic
"[23, 5, 38, 66, 109, 213]",388,tribonacci
"[16, 10, 15, 31, 41, 56]",87,generate_sequence
"[13, 17, 16, 30, 33, 46]",63,padovan
"[50, 67, 84, 101, 118, 135]",152,arithmetic
"[3, 1, 9, 7, 15, 13]",21,alternating_add_subtract
"[8, 50, 218, 890, 3578, 14330]",57338,linear_recursive
"[6, 6, 6, 12, 12, 18]",24,padovan
"[14, 3, 18, 17, 21, 35]",38,padovan
"[6, 36, 156, 636, 2556, 10236]",40956,linear_recursive
"[48, 253, 1278, 6403, 32028, 160153]",800778,linear_recursive
"[8, 13, 2, 10, 23, 25]",35,generate_sequence
"[24, 50, 102, 206, 414, 830]",1662,linear_recursive
"[4, 17, 4, 21, 21, 25]",42,padovan
"[9, 8, 3, 12, 20, 23]",35,generate_sequence
"[54, 52, 54, 52, 54, 52]",54,alternating_add_subtract
"[73, 66, 75, 68, 77, 70]",79,alternating_add_subtract
"[46, 40, 126, 292, 710, 1712]",4134,pell
"[1, 28, 35, 64, 127, 226]",417,tribonacci
"[12, 10, 13, 22, 23, 35]",45,padovan
"[5, 13, 5, 18, 18, 23]",36,padovan
"[7, 11, 20, 27, 38, 58]",85,generate_sequence
"[13, 14, 13, 26, 40, 53]",79,generate_sequence
"[1, 3, 16, 20, 39, 75]",134,tribonacci
"[95, 87, 95, 87, 95, 87]",95,alternating_add_subtract
"[2, 15, 20, 22, 37, 57]",79,generate_sequence
"[97, 71, 45, 19, -7, -33]",-59,arithmetic
"[10, 21, 84, 95, 380, 391]",1564,alternating_sequence
"[29, 25, 35, 31, 41, 37]",47,alternating_add_subtract
"[8, 20, 18, 26, 46, 64]",90,generate_sequence
"[9, 9, 15, 18, 24, 33]",42,padovan
"[19, 47, 41, 107, 195, 343]",645,tribonacci
"[12, 19, 14, 26, 45, 59]",85,generate_sequence
"[10, 1, 2, 11, 3, 13]",14,padovan
"[90, 82, 89, 81, 88, 80]",87,alternating_add_subtract
"[1, 10, 19, 28, 37, 46]",55,arithmetic
"[89, 118, 147, 176, 205, 234]",263,arithmetic
"[20, 13, 16, 36, 49, 65]",101,generate_sequence
"[28, 37, 18, 83, 138, 239]",460,tribonacci
"[50, 96, 142, 188, 234, 280]",326,arithmetic
"[34, 1, 48, 83, 132, 263]",478,tribonacci
"[29, 59, 89, 119, 149, 179]",209,arithmetic
"[10, 58, 298, 1498, 7498, 37498]",187498,linear_recursive
"[52, 42, 52, 42, 52, 42]",52,alternating_add_subtract
"[58, 49, 50, 41, 42, 33]",34,alternating_add_subtract
"[14, 16, 50, 80, 146, 276]",502,tribonacci
"[45, 43, 50, 48, 55, 53]",60,alternating_add_subtract
"[49, 23, 17, 89, 129, 235]",453,tribonacci
"[5, 29, 101, 317, 965, 2909]",8741,linear_recursive
"[4, 15, 1, 5, 20, 21]",26,generate_sequence
"[38, 56, 280, 298, 1490, 1508]",7540,alternating_sequence
"[62, 59, 68, 65, 74, 71]",80,alternating_add_subtract
"[4, 16, 11, 15, 31, 42]",57,generate_sequence
"[18, 28, 56, 66, 132, 142]",284,alternating_sequence
"[13, 26, 65, 156, 377, 910]",2197,pell
"[56, 87, 118, 149, 180, 211]",242,arithmetic
"[16, 22, 60, 142, 344, 830]",2004,pell
"[34, 32, 40, 38, 46, 44]",52,alternating_add_subtract
"[5, 21, 44, 70, 135, 249]",454,tribonacci
"[26, -18, -62, -106, -150, -194]",-238,arithmetic
"[25, 20, 24, 19, 23, 18]",22,alternating_add_subtract
"[72, 64, 56, 48, 40, 32]",24,arithmetic
"[7, 32, 107, 332, 1007, 3032]",9107,linear_recursive
"[10, 29, 47, 86, 162, 295]",543,tribonacci
"[3, 4, 16, 7, 20, 23]",27,padovan
"[7, -36, -79, -122, -165, -208]",-251,arithmetic
"[16, 23, 15, 54, 92, 161]",307,tribonacci
"[78, 68, 77, 67, 76, 66]",75,alternating_add_subtract
"[15, 59, 191, 587, 1775, 5339]",16031,linear_recursive
"[33, 145, 593, 2385, 9553, 38225]",152913,linear_recursive
"[14, 6, 8, 22, 28, 36]",58,generate_sequence
"[2, 12, 2, 4, 16, 18]",22,generate_sequence
"[10, 7, 10, 7, 10, 7]",10,alternating_add_subtract
"[35, 32, 35, 32, 35, 32]",35,alternating_add_subtract
"[20, 15, 19, 14, 18, 13]",17,alternating_add_subtract
"[7, 3, 12, 19, 22, 34]",53,generate_sequence
"[20, 8, 10, 30, 38, 48]",78,generate_sequence
"[33, 5, 7, 45, 57, 109]",211,tribonacci
"[4, 8, 7, 12, 15, 19]",27,padovan
"[71, 90, 109, 128, 147, 166]",185,arithmetic
"[33, 45, 36, 114, 195, 345]",654,tribonacci
"[42, 32, 46, 120, 198, 364]",682,tribonacci
"[59, 78, 97, 116, 135, 154]",173,arithmetic
"[13, 35, 48, 83, 131, 214]",345,fibonacci
"[16, 57, 180, 549, 1656, 4977]",14940,linear_recursive
"[72, 70, 76, 74, 80, 78]",84,alternating_add_subtract
"[3, 25, 113, 465, 1873, 7505]",30033,linear_recursive
"[37, 70, 103, 136, 169, 202]",235,arithmetic
