sequence,target,function,tier
"[42, 21, 37, 100, 158, 295]",553,tribonacci,2
"[66, 47, 28, 9, -10, -29]",-48,arithmetic,3
"[3, 36, 14, 53, 103, 170]",326,tribonacci,2
"[14, 12, 14, 28, 40, 54]",82,generate_sequence,2
"[3, 11, 4, 14, 15, 18]",29,padovan,3
"[14, 1, 8, 15, 9, 23]",24,padovan,3
"[15, 21, 27, 33, 39, 45]",51,arithmetic,3
"[19, 15, 5, 34, 20, 39]",54,padovan,3
"[85, 64, 43, 22, 1, -20]",-41,arithmetic,3
"[5, 12, 18, 23, 35, 53]",76,generate_sequence,2
"[7, 6, 13, 19, 32, 51]",83,fibonacci,2
"[11, 17, 19, 30, 47, 66]",96,generate_sequence,2
"[6, 18, 42, 102, 246, 594]",1434,pell,2
"[8, 9, 1, 9, 18, 19]",28,generate_sequence,2
"[45, 45, 24, 114, 183, 321]",618,tribonacci,2
"[20, 9, -2, -13, -24, -35]",-46,arithmetic,3
"[13, 5, 4, 17, 22, 26]",43,generate_sequence,2
"[25, 52, 106, 214, 430, 862]",1726,linear_recursive,2
"[72, 70, 79, 77, 86, 84]",93,alternating_add_subtract,2
"[11, 19, 10, 21, 40, 50]",71,generate_sequence,2
"[2, 9, 4, 11, 13, 15]",24,padovan,3
"[46, 236, 1186, 5936, 29686, 148436]",742186,linear_recursive,2
"[9, 20, 6, 15, 35, 41]",56,generate_sequence,2
"[29, 20, 26, 17, 23, 14]",20,alternating_add_subtract,2
"[2, 15, 19, 21, 36, 55]",76,generate_sequence,2
"[92, 121, 150, 179, 208, 237]",266,arithmetic,3
"[0, -21, -42, -63, -84, -105]",-126,arithmetic,3
"[4, 41, 34, 79, 154, 267]",500,tribonacci,2
"[4, 33, 178, 903, 4528, 22653]",113278,linear_recursive,2
"[39, 51, 102, 114, 228, 240]",480,alternating_sequence,2
"[32, 49, 12, 93, 154, 259]",506,tribonacci,2
"[17, -16, -49, -82, -115, -148]",-181,arithmetic,3
"[1, 5, 1, 6, 6, 7]",12,padovan,3
"[39, -11, -61, -111, -161, -211]",-261,arithmetic,3
"[23, 134, 689, 3464, 17339, 86714]",433589,linear_recursive,2
"[42, 2, -38, -78, -118, -158]",-198,arithmetic,3
"[21, 118, 603, 3028, 15153, 75778]",378903,linear_recursive,2
"[42, 48, 138, 324, 786, 1896]",4578,pell,2
"[31, 171, 871, 4371, 21871, 109371]",546871,linear_recursive,2
"[100, 106, 112, 118, 124, 130]",136,arithmetic,3
"[5, 6, 15, 20, 26, 41]",61,generate_sequence,2
"[3, 7, 9, 19, 35, 63]",117,tribonacci,2
"[82, 58, 34, 10, -14, -38]",-62,arithmetic,3
"[5, -19, -43, -67, -91, -115]",-139,arithmetic,3
"[4, 16, 10, 14, 30, 40]",54,generate_sequence,2
"[7, 20, 10, 17, 37, 47]",64,generate_sequence,2
"[63, 58, 61, 56, 59, 54]",57,alternating_add_subtract,2
"[23, 34, 170, 181, 905, 916]",4580,alternating_sequence,2
"[100, 134, 168, 202, 236, 270]",304,arithmetic,3
"[65, 60, 55, 50, 45, 40]",35,arithmetic,3
"[40, 34, 35, 109, 178, 322]",609,tribonacci,2
"[13, 17, 18, 30, 35, 48]",65,padovan,3
"[42, 104, 228, 476, 972, 1964]",3948,linear_recursive,2
"[28, 17, 15, 60, 92, 167]",319,tribonacci,2
"[7, 2, 1, 9, 3, 10]",12,padovan,3
"[38, 33, 41, 36, 44, 39]",47,alternating_add_subtract,2
"[4, 39, 214, 1089, 5464, 27339]",136714,linear_recursive,2
"[12, 9, 30, 69, 168, 405]",978,pell,2
"[8, 4, 19, 12, 23, 31]",35,padovan,3
"[15, 43, 99, 211, 435, 883]",1779,linear_recursive,2
"[20, 47, 74, 101, 128, 155]",182,arithmetic,3
"[5, 12, 10, 15, 27, 37]",52,generate_sequence,2
"[49, 113, 241, 497, 1009, 2033]",4081,linear_recursive,2
"[10, 41, 48, 99, 188, 335]",622,tribonacci,2
"[1, 7, 20, 8, 27, 28]",35,padovan,3
"[16, 30, 10, 56, 96, 162]",314,tribonacci,2
"[27, 32, 2, 61, 95, 158]",314,tribonacci,2
"[54, 29, 4, -21, -46, -71]",-96,arithmetic,3
"[8, 2, 15, 10, 17, 25]",27,padovan,3
"[21, 49, 29, 99, 177, 305]",581,tribonacci,2
"[23, 40, 160, 177, 708, 725]",2900,alternating_sequence,2
"[4, 3, 1, 7, 4, 8]",11,padovan,3
"[38, 72, 106, 140, 174, 208]",242,arithmetic,3
"[30, 30, 48, 108, 186, 342]",636,tribonacci,2
"[25, 25, 44, 94, 163, 301]",558,tribonacci,2
"[20, 5, 7, 25, 12, 32]",37,padovan,3
"[19, 15, 3, 34, 18, 37]",52,padovan,3
"[4, 10, 15, 14, 25, 29]",39,padovan,3
"[2, 4, 7, 9, 13, 20]",29,generate_sequence,2
"[16, 15, 12, 31, 27, 43]",58,padovan,3
"[21, 23, 69, 71, 213, 215]",645,alternating_sequence,2
"[96, 135, 174, 213, 252, 291]",330,arithmetic,3
"[54, 87, 120, 153, 186, 219]",252,arithmetic,3
"[72, 63, 70, 61, 68, 59]",66,alternating_add_subtract,2
"[46, 15, 2, 63, 80, 145]",288,tribonacci,2
"[9, 7, 1, 16, 8, 17]",24,padovan,3
"[36, 45, 13, 94, 152, 259]",505,tribonacci,2
"[3, 7, 8, 11, 18, 26]",37,generate_sequence,2
"[43, 62, 248, 267, 1068, 1087]",4348,alternating_sequence,2
"[47, 32, 17, 2, -13, -28]",-43,arithmetic,3
"[45, 60, 240, 255, 1020, 1035]",4140,alternating_sequence,2
"[2, 4, 3, 5, 9, 12]",17,generate_sequence,2
"[88, 105, 122, 139, 156, 173]",190,arithmetic,3
"[8, 16, 40, 96, 232, 560]",1352,pell,2
"[22, 12, 15, 5, 8, -2]",1,alternating_add_subtract,2
"[48, 28, 8, 84, 120, 212]",416,tribonacci,2
"[13, 9, 18, 14, 23, 19]",28,alternating_add_subtract,2
"[45, 50, 25, 120, 195, 340]",655,tribonacci,2
"[3, 4, 3, 3, 2, 1]",-1,fib_minus_const,1
"[2, 33, 17, 52, 102, 171]",325,tribonacci,2
"[20, 12, 8, 32, 20, 40]",52,padovan,3
"[19, 2, 2, 21, 4, 23]",25,padovan,3
"[34, 142, 574, 2302, 9214, 36862]",147454,linear_recursive,2
"[46, 11, 12, 69, 92, 173]",334,tribonacci,2
"[26, 18, 27, 19, 28, 20]",29,alternating_add_subtract,2
"[39, 33, 42, 36, 45, 39]",48,alternating_add_subtract,2
"[35, 35, 40, 110, 185, 335]",630,tribonacci,2
"[3, -37, -77, -117, -157, -197]",-237,arithmetic,3
"[11, 16, 15, 27, 31, 42]",58,padovan,3
"[10, 2, 14, 12, 16, 26]",28,padovan,3
"[47, 49, 37, 133, 219, 389]",741,tribonacci,2
"[91, 83, 91, 83, 91, 83]",91,alternating_add_subtract,2
"[10, 20, 4, 30, 24, 34]",54,padovan,3
"[9, 10, 16, 19, 26, 35]",45,padovan,3
"[32, 45, 90, 103, 206, 219]",438,alternating_sequence,2
"[6, 9, 13, 15, 22, 28]",37,padovan,3
"[43, 14, 9, 66, 89, 164]",319,tribonacci,2
"[3, 22, 44, 63, 126, 145]",290,alternating_sequence,2
"[4, 15, 19, 34, 53, 87]",140,fibonacci,2
"[67, 62, 70, 65, 73, 68]",76,alternating_add_subtract,2
"[9, 1, 2, 11, 12, 14]",25,generate_sequence,2
"[16, 13, 16, 29, 29, 45]",58,padovan,3
"[18, 19, 9, 37, 28, 46]",65,padovan,3
"[30, 132, 540, 2172, 8700, 34812]",139260,linear_recursive,2
"[20, 29, 49, 78, 127, 205]",332,fibonacci,2
"[2, 2, 10, 12, 14, 24]",36,generate_sequence,2
"[36, 1, 30, 67, 98, 195]",360,tribonacci,2
"[10, 11, 20, 21, 31, 41]",52,padovan,3
"[6, 34, 40, 74, 114, 188]",302,fibonacci,2
"[5, 14, 15, 19, 29, 34]",48,padovan,3
"[8, 8, 33, 49, 90, 172]",311,tribonacci,2
"[20, 70, 220, 670, 2020, 6070]",18220,linear_recursive,2
"[18, 35, 52, 69, 86, 103]",120,arithmetic,3
"[21, 16, 11, 6, 1, -4]",-9,arithmetic,3
"[6, 39, 84, 207, 498, 1203]",2904,pell,2
"[95, 92, 93, 90, 91, 88]",89,alternating_add_subtract,2
"[27, 25, 1, 53, 79, 133]",265,tribonacci,2
"[23, 41, 164, 182, 728, 746]",2984,alternating_sequence,2
"[47, 46, 52, 51, 57, 56]",62,alternating_add_subtract,2
"[15, 2, 13, 28, 30, 43]",71,generate_sequence,2
"[9, 8, 5, 14, 22, 27]",41,generate_sequence,2
"[29, 29, 48, 106, 183, 337]",626,tribonacci,2
"[15, 20, 4, 35, 24, 39]",59,padovan,3
"[42, 43, 215, 216, 1080, 1081]",5405,alternating_sequence,2
"[22, 30, 36, 88, 154, 278]",520,tribonacci,2
"[4, 12, 20, 28, 36, 44]",52,arithmetic,3
"[14, 9, 4, 23, 13, 27]",36,padovan,3
"[43, 44, 131, 306, 743, 1792]",4327,pell,2
"[38, 207, 1052, 5277, 26402, 132027]",660152,linear_recursive,2
"[89, 99, 109, 119, 129, 139]",149,arithmetic,3
"[4, 9, 10, 13, 19, 23]",32,padovan,3
"[42, 39, 41, 38, 40, 37]",39,alternating_add_subtract,2
"[2, 8, 16, 22, 44, 50]",100,alternating_sequence,2
"[21, 49, 28, 98, 175, 301]",574,tribonacci,2
"[40, 32, 41, 33, 42, 34]",43,alternating_add_subtract,2
"[15, -15, -45, -75, -105, -135]",-165,arithmetic,3
"[4, 37, 202, 1027, 5152, 25777]",128902,linear_recursive,2
"[43, 40, 37, 34, 31, 28]",25,arithmetic,3
"[20, 9, 3, 29, 12, 32]",41,padovan,3
"[6, 7, 8, 9, 10, 11]",12,arithmetic,3
"[8, 7, 4, 15, 11, 19]",26,padovan,3
"[97, 87, 95, 85, 93, 83]",91,alternating_add_subtract,2
"[52, 50, 58, 56, 64, 62]",70,alternating_add_subtract,2
"[2, 35, 40, 77, 152, 269]",498,tribonacci,2
"[14, 20, 6, 20, 40, 46]",66,generate_sequence,2
"[45, 149, 461, 1397, 4205, 12629]",37901,linear_recursive,2
"[31, 97, 295, 889, 2671, 8017]",24055,linear_recursive,2
"[28, 7, 37, 72, 116, 225]",413,tribonacci,2
"[10, 23, 115, 128, 640, 653]",3265,alternating_sequence,2
"[20, 19, 7, 39, 26, 46]",65,padovan,3
"[1, 18, 3, 19, 21, 22]",40,padovan,3
"[2, 5, 12, 7, 17, 19]",24,padovan,3
"[61, 52, 62, 53, 63, 54]",64,alternating_add_subtract,2
"[1, 6, 4, 11, 21, 36]",68,tribonacci,2
"[37, 93, 205, 429, 877, 1773]",3565,linear_recursive,2
"[17, 33, 45, 95, 173, 313]",581,tribonacci,2
"[71, 120, 169, 218, 267, 316]",365,arithmetic,3
"[25, 5, 35, 75, 185, 445]",1075,pell,2
"[1, 11, 4, 12, 15, 16]",27,padovan,3
"[3, 0, 10, 7, 17, 14]",24,alternating_add_subtract,2
"[15, 16, 35, 66, 117, 218]",401,tribonacci,2
"[15, 65, 265, 1065, 4265, 17065]",68265,linear_recursive,2
"[96, 49, 2, -45, -92, -139]",-186,arithmetic,3
"[39, 20, 29, 88, 137, 254]",479,tribonacci,2
"[33, 28, 31, 26, 29, 24]",27,alternating_add_subtract,2
"[28, 29, 145, 146, 730, 731]",3655,alternating_sequence,2
"[1, 7, 25, 79, 241, 727]",2185,linear_recursive,2
"[68, 85, 102, 119, 136, 153]",170,arithmetic,3
"[21, 27, 33, 39, 45, 51]",57,arithmetic,3
"[99, 120, 141, 162, 183, 204]",225,arithmetic,3
"[72, 62, 71, 61, 70, 60]",69,alternating_add_subtract,2
"[1, 2, 18, 3, 20, 21]",23,padovan,3
"[46, 84, 122, 160, 198, 236]",274,arithmetic,3
"[52, 3, -46, -95, -144, -193]",-242,arithmetic,3
"[4, 6, 4, 8, 14, 18]",26,generate_sequence,2
"[7, 3, 4, 11, 14, 18]",29,generate_sequence,2
"[29, 20, 30, 21, 31, 22]",32,alternating_add_subtract,2
"[6, 25, 100, 119, 476, 495]",1980,alternating_sequence,2
"[16, 12, 9, 28, 21, 37]",49,padovan,3
"[7, 4, 4, 11, 8, 15]",19,padovan,3
"[1, 9, 27, 35, 105, 113]",339,alternating_sequence,2
"[22, 18, 23, 19, 24, 20]",25,alternating_add_subtract,2
"[10, 8, 1, 18, 9, 19]",27,padovan,3
"[17, 10, 14, 7, 11, 4]",8,alternating_add_subtract,2
"[15, -17, -49, -81, -113, -145]",-177,arithmetic,3
"[91, 89, 97, 95, 103, 101]",109,alternating_add_subtract,2
"[4, 17, 43, 95, 199, 407]",823,linear_recursive,2
"[1, 18, 6, 19, 24, 25]",43,padovan,3
"[2, 1, 9, 8, 16, 15]",23,alternating_add_subtract,2
"[19, 53, 87, 121, 155, 189]",223,arithmetic,3
"[9, 21, 48, 78, 147, 273]",498,tribonacci,2
"[12, 57, 237, 957, 3837, 15357]",61437,linear_recursive,2
"[18, 9, 4, 27, 13, 31]",40,padovan,3
"[2, 17, 62, 197, 602, 1817]",5462,linear_recursive,2
"[60, 53, 55, 48, 50, 43]",45,alternating_add_subtract,2
"[85, 83, 89, 87, 93, 91]",97,alternating_add_subtract,2
"[7, -1, 9, 1, 11, 3]",13,alternating_add_subtract,2
"[34, 3, 25, 62, 90, 177]",329,tribonacci,2
"[8, 28, 68, 148, 308, 628]",1268,linear_recursive,2
"[8, 2, 12, 20, 22, 34]",54,generate_sequence,2
"[40, 22, 15, 77, 114, 206]",397,tribonacci,2
"[9, 1, 15, 10, 16, 25]",26,padovan,3
"[79, 84, 89, 94, 99, 104]",109,arithmetic,3
"[56, 96, 136, 176, 216, 256]",296,arithmetic,3
"[31, 129, 521, 2089, 8361, 33449]",133801,linear_recursive,2
"[9, 5, 11, 7, 13, 9]",15,alternating_add_subtract,2
"[41, 39, 48, 128, 215, 391]",734,tribonacci,2
"[40, 67, 94, 121, 148, 175]",202,arithmetic,3
"[43, 55, 67, 79, 91, 103]",115,arithmetic,3
"[6, 18, 11, 17, 35, 46]",63,generate_sequence,2
"[40, 30, 33, 23, 26, 16]",19,alternating_add_subtract,2
"[23, 26, 1, 50, 77, 128]",255,tribonacci,2
"[20, 42, 64, 86, 108, 130]",152,arithmetic,3
"[10, 35, 80, 195, 470, 1135]",2740,pell,2
"[11, 3, 5, 16, 19, 24]",40,generate_sequence,2
"[18, 24, 96, 102, 408, 414]",1656,alternating_sequence,2
"[17, 6, 9, 23, 15, 32]",38,padovan,3
"[8, 39, 47, 86, 133, 219]",352,fibonacci,2
"[6, 20, 12, 26, 32, 38]",58,padovan,3
"[42, 57, 171, 186, 558, 573]",1719,alternating_sequence,2
"[20, -27, -74, -121, -168, -215]",-262,arithmetic,3
"[32, 20, 48, 100, 168, 316]",584,tribonacci,2
"[14, 16, 2, 30, 18, 32]",48,padovan,3
"[33, 15, 24, 72, 111, 207]",390,tribonacci,2
"[4, -4, -1, -9, -6, -14]",-11,alternating_add_subtract,2
"[18, 38, 56, 94, 150, 244]",394,fibonacci,2
"[18, 2, 16, 34, 36, 52]",86,generate_sequence,2
"[7, 8, 18, 25, 33, 51]",76,generate_sequence,2
"[82, 72, 80, 70, 78, 68]",76,alternating_add_subtract,2
"[16, 8, 2, 24, 10, 26]",34,padovan,3
"[15, 14, 19, 29, 33, 48]",62,padovan,3
"[9, 12, 60, 63, 315, 318]",1590,alternating_sequence,2
"[12, 17, 1, 29, 18, 30]",47,padovan,3
"[17, 14, 11, 31, 25, 42]",56,padovan,3
"[71, 80, 89, 98, 107, 116]",125,arithmetic,3
"[19, 4, 2, 23, 6, 25]",29,padovan,3
"[76, 67, 58, 49, 40, 31]",22,arithmetic,3
"[7, 5, 17, 39, 95, 229]",553,pell,2
"[31, -10, -51, -92, -133, -174]",-215,arithmetic,3
"[31, 20, 71, 162, 395, 952]",2299,pell,2
"[17, 5, 5, 22, 27, 32]",54,generate_sequence,2
"[27, 32, 29, 88, 149, 266]",503,tribonacci,2
"[85, 121, 157, 193, 229, 265]",301,arithmetic,3
"[30, 50, 130, 310, 750, 1810]",4370,pell,2
"[17, 5, 13, 22, 18, 35]",40,padovan,3
"[20, 4, 12, 24, 16, 36]",40,padovan,3
"[11, 22, 33, 44, 55, 66]",77,arithmetic,3
"[5, 17, 6, 11, 28, 34]",45,generate_sequence,2
"[3, 37, 36, 76, 149, 261]",486,tribonacci,2
"[43, 226, 1141, 5716, 28591, 142966]",714841,linear_recursive,2
"[82, 83, 84, 85, 86, 87]",88,arithmetic,3
"[40, 203, 1018, 5093, 25468, 127343]",636718,linear_recursive,2
"[70, 108, 146, 184, 222, 260]",298,arithmetic,3
"[47, 22, 40, 109, 171, 320]",600,tribonacci,2
"[57, 13, -31, -75, -119, -163]",-207,arithmetic,3
"[84, 108, 132, 156, 180, 204]",228,arithmetic,3
"[9, 2, 16, 11, 18, 27]",29,padovan,3
"[2, 4, 35, 41, 80, 156]",277,tribonacci,2
"[17, 6, 14, 23, 20, 37]",43,padovan,3
"[62, 58, 59, 55, 56, 52]",53,alternating_add_subtract,2
"[67, 97, 127, 157, 187, 217]",247,arithmetic,3
"[37, 29, 26, 92, 147, 265]",504,tribonacci,2
"[3, 1, 5, 4, 6, 9]",10,padovan,3
"[89, 84, 79, 74, 69, 64]",59,arithmetic,3
"[92, 86, 94, 88, 96, 90]",98,alternating_add_subtract,2
"[12, 20, 19, 32, 39, 51]",71,padovan,3
"[1, 11, 5, 12, 16, 17]",28,padovan,3
"[11, 15, 6, 17, 32, 38]",55,generate_sequence,2
"[2, 7, 8, 14, 21, 34]",54,fib_minus_const,1
"[48, 2, 52, 106, 264, 634]",1532,pell,2
"[4, -5, 4, -5, 4, -5]",4,alternating_add_subtract,2
"[1, 29, 40, 70, 139, 249]",458,tribonacci,2
"[36, 18, 10, 64, 92, 166]",322,tribonacci,2
"[3, -17, -37, -57, -77, -97]",-117,arithmetic,3
"[3, 1, 11, 14, 15, 26]",40,generate_sequence,2
"[39, 4, -31, -66, -101, -136]",-171,arithmetic,3
"[41, 34, 41, 34, 41, 34]",41,alternating_add_subtract,2
"[1, 1, -2, -5, -11, -20]",-35,fib_minus_const,1
"[24, 61, 98, 135, 172, 209]",246,arithmetic,3
"[41, 54, 270, 283, 1415, 1428]",7140,alternating_sequence,2
"[21, 9, -3, -15, -27, -39]",-51,arithmetic,3
"[8, 35, 116, 359, 1088, 3275]",9836,linear_recursive,2
"[3, 19, 7, 10, 29, 36]",46,generate_sequence,2
"[46, 32, 25, 103, 160, 288]",551,tribonacci,2
"[44, 46, 184, 186, 744, 746]",2984,alternating_sequence,2
"[14, 28, 42, 56, 70, 84]",98,arithmetic,3
"[100, 123, 146, 169, 192, 215]",238,arithmetic,3
"[10, 40, 33, 83, 156, 272]",511,tribonacci,2
"[4, 10, 13, 22, 34, 55]",88,fib_minus_const,1
"[6, 7, 2, 13, 9, 15]",22,padovan,3
"[35, 46, 15, 96, 157, 268]",521,tribonacci,2
"[18, 18, 1, 19, 37, 38]",57,generate_sequence,2
"[12, 15, 5, 17, 32, 37]",54,generate_sequence,2
"[1, 4, 40, 45, 89, 174]",308,tribonacci,2
"[48, 20, 48, 116, 184, 348]",648,tribonacci,2
"[73, 71, 69, 67, 65, 63]",61,arithmetic,3
"[17, 23, 46, 52, 104, 110]",220,alternating_sequence,2
"[4, 6, 20, 10, 26, 30]",36,padovan,3
"[18, 26, 104, 112, 448, 456]",1824,alternating_sequence,2
"[3, -4, -1, -8, -5, -12]",-9,alternating_add_subtract,2
"[12, 32, 72, 152, 312, 632]",1272,linear_recursive,2
"[76, 84, 92, 100, 108, 116]",124,arithmetic,3
"[10, 26, 47, 83, 156, 286]",525,tribonacci,2
"[31, 21, 29, 19, 27, 17]",25,alternating_add_subtract,2
"[89, 82, 75, 68, 61, 54]",47,arithmetic,3
"[1, 15, 6, 16, 21, 22]",37,padovan,3
"[57, 77, 97, 117, 137, 157]",177,arithmetic,3
"[13, 7, 9, 3, 5, -1]",1,alternating_add_subtract,2
"[26, 38, 43, 107, 188, 338]",633,tribonacci,2
"[54, 45, 48, 39, 42, 33]",36,alternating_add_subtract,2
"[36, 11, 7, 54, 72, 133]",259,tribonacci,2
"[31, 44, 176, 189, 756, 769]",3076,alternating_sequence,2
"[42, 32, 4, 78, 114, 196]",388,tribonacci,2
"[17, 20, 8, 37, 28, 45]",65,padovan,3
"[65, 79, 93, 107, 121, 135]",149,arithmetic,3
"[86, 37, -12, -61, -110, -159]",-208,arithmetic,3
"[37, 2, 43, 82, 127, 252]",461,tribonacci,2
"[6, 25, 44, 63, 82, 101]",120,arithmetic,3
"[17, 36, 23, 76, 135, 234]",445,tribonacci,2
"[12, 61, 257, 1041, 4177, 16721]",66897,linear_recursive,2
"[8, 5, 16, 24, 29, 45]",69,generate_sequence,2
"[16, 44, 46, 106, 196, 348]",650,tribonacci,2
"[7, 18, 1, 8, 26, 27]",35,generate_sequence,2
"[8, 24, 28, 60, 112, 200]",372,tribonacci,2
"[35, 5, 45, 85, 135, 265]",485,tribonacci,2
"[4, 21, 38, 55, 72, 89]",106,arithmetic,3
"[32, 31, 94, 219, 532, 1283]",3098,pell,2
"[44, 28, 12, -4, -20, -36]",-52,arithmetic,3
"[14, 4, 16, 30, 34, 50]",80,generate_sequence,2
"[34, 78, 166, 342, 694, 1398]",2806,linear_recursive,2
"[38, 38, 28, 104, 170, 302]",576,tribonacci,2
"[33, 47, 235, 249, 1245, 1259]",6295,alternating_sequence,2
"[15, 4, 7, 19, 11, 26]",30,padovan,3
"[15, 1, 18, 33, 34, 52]",85,generate_sequence,2
"[51, 23, -5, -33, -61, -89]",-117,arithmetic,3
"[47, 6, 43, 96, 145, 284]",525,tribonacci,2
"[7, 4, 15, 26, 45, 86]",157,tribonacci,2
"[14, 1, 15, 15, 16, 30]",31,padovan,3
"[69, 107, 145, 183, 221, 259]",297,arithmetic,3
"[28, 23, 10, 61, 94, 165]",320,tribonacci,2
"[35, 44, 88, 97, 194, 203]",406,alternating_sequence,2
"[63, 30, -3, -36, -69, -102]",-135,arithmetic,3
"[4, 4, 8, 8, 12, 16]",20,padovan,3
"[87, 86, 93, 92, 99, 98]",105,alternating_add_subtract,2
"[14, 20, 14, 34, 34, 48]",68,padovan,3
"[11, 28, 112, 129, 516, 533]",2132,alternating_sequence,2
"[10, 12, 11, 33, 56, 100]",189,tribonacci,2
"[84, 122, 160, 198, 236, 274]",312,arithmetic,3
"[82, 79, 83, 80, 84, 81]",85,alternating_add_subtract,2
"[6, 7, 7, 13, 14, 20]",27,padovan,3
"[2, 2, 6, 14, 34, 82]",198,pell,2
"[6, 6, 12, 18, 30, 48]",78,fibonacci,2
"[8, 17, 34, 43, 86, 95]",190,alternating_sequence,2
"[8, 18, 44, 106, 256, 618]",1492,pell,2
"[13, 20, 19, 33, 39, 52]",72,padovan,3
"[44, 15, -14, -43, -72, -101]",-130,arithmetic,3
"[12, 16, 20, 32, 48, 68]",100,generate_sequence,2
"[33, 17, 50, 67, 117, 184]",301,fibonacci,2
"[3, 24, 10, 37, 71, 118]",226,tribonacci,2
"[37, 51, 65, 79, 93, 107]",121,arithmetic,3
"[15, 28, 22, 65, 115, 202]",382,tribonacci,2
"[10, 15, 1, 11, 26, 27]",38,generate_sequence,2
"[10, 11, 44, 45, 180, 181]",724,alternating_sequence,2
"[30, 4, 11, 45, 60, 116]",221,tribonacci,2
"[25, 43, 215, 233, 1165, 1183]",5915,alternating_sequence,2
"[7, 15, 20, 22, 35, 42]",57,padovan,3
"[38, 43, 124, 291, 706, 1703]",4112,pell,2
"[32, 22, 23, 13, 14, 4]",5,alternating_add_subtract,2
"[43, 50, 250, 257, 1285, 1292]",6460,alternating_sequence,2
"[23, 16, 26, 65, 107, 198]",370,tribonacci,2
"[24, 18, 44, 86, 148, 278]",512,tribonacci,2
"[24, 22, 25, 23, 26, 24]",27,alternating_add_subtract,2
"[12, 8, 5, 20, 13, 25]",33,padovan,3
"[29, 48, 37, 114, 199, 350]",663,tribonacci,2
"[21, 111, 561, 2811, 14061, 70311]",351561,linear_recursive,2
"[19, 25, 44, 69, 113, 182]",295,fibonacci,2
"[13, 23, 92, 102, 408, 418]",1672,alternating_sequence,2
"[15, 18, 11, 26, 44, 55]",81,generate_sequence,2
"[15, 17, 11, 32, 28, 43]",60,padovan,3
"[12, 47, 26, 85, 158, 269]",512,tribonacci,2
"[6, 16, 16, 22, 38, 54]",76,generate_sequence,2
"[6, 3, 11, 9, 14, 20]",23,padovan,3
"[44, 10, 44, 98, 152, 294]",544,tribonacci,2
"[22, 21, 64, 149, 362, 873]",2108,pell,2
"[11, 48, 85, 122, 159, 196]",233,arithmetic,3
"[13, 41, 69, 97, 125, 153]",181,arithmetic,3
"[5, 48, 24, 77, 149, 250]",476,tribonacci,2
"[43, 10, 2, 55, 67, 124]",246,tribonacci,2
"[2, 19, 11, 13, 32, 43]",56,generate_sequence,2
"[68, 58, 65, 55, 62, 52]",59,alternating_add_subtract,2
"[5, 10, 17, 15, 27, 32]",42,padovan,3
"[30, 45, 135, 150, 450, 465]",1395,alternating_sequence,2
"[7, 4, 11, 15, 26, 41]",67,fibonacci,2
"[13, 11, 1, 14, 25, 26]",40,generate_sequence,2
"[2, 12, 2, 14, 14, 16]",28,padovan,3
"[11, 17, 14, 28, 31, 42]",59,padovan,3
"[33, 20, 73, 166, 405, 976]",2357,pell,2
"[1, -14, -29, -44, -59, -74]",-89,arithmetic,3
"[78, 117, 156, 195, 234, 273]",312,arithmetic,3
"[28, 25, 32, 29, 36, 33]",40,alternating_add_subtract,2
"[78, 109, 140, 171, 202, 233]",264,arithmetic,3
"[3, 17, 9, 20, 26, 29]",46,padovan,3
"[97, 86, 75, 64, 53, 42]",31,arithmetic,3
"[46, 28, 44, 118, 190, 352]",660,tribonacci,2
"[85, 79, 73, 67, 61, 55]",49,arithmetic,3
"[35, 122, 383, 1166, 3515, 10562]",31703,linear_recursive,2
"[73, 72, 80, 79, 87, 86]",94,alternating_add_subtract,2
"[18, 10, 15, 33, 43, 58]",91,generate_sequence,2
"[5, 19, 10, 24, 29, 34]",53,padovan,3
"[77, 96, 115, 134, 153, 172]",191,arithmetic,3
"[88, 110, 132, 154, 176, 198]",220,arithmetic,3
"[7, 2, 3, -2, -1, -6]",-5,alternating_add_subtract,2
"[5, 6, 16, 11, 22, 27]",33,padovan,3
"[1, -5, 2, -4, 3, -3]",4,alternating_add_subtract,2
"[27, 22, 30, 25, 33, 28]",36,alternating_add_subtract,2
"[3, 18, 4, 7, 25, 29]",36,generate_sequence,2
"[19, 27, 6, 52, 85, 143]",280,tribonacci,2
"[37, 48, 96, 107, 214, 225]",450,alternating_sequence,2
"[9, 6, 14, 19, 32, 50]",81,fib_minus_const,1
"[39, 119, 359, 1079, 3239, 9719]",29159,linear_recursive,2
"[16, 2, 1, 18, 3, 19]",21,padovan,3
"[5, 15, 20, 35, 55, 90]",145,fibonacci,2
"[21, 31, 41, 51, 61, 71]",81,arithmetic,3
"[20, 10, 4, 24, 34, 38]",62,generate_sequence,2
"[39, 23, 42, 104, 169, 315]",588,tribonacci,2
"[11, 12, 10, 21, 33, 43]",64,generate_sequence,2
"[11, -13, -37, -61, -85, -109]",-133,arithmetic,3
"[13, 13, 7, 26, 20, 33]",46,padovan,3
"[9, 13, 17, 21, 25, 29]",33,arithmetic,3
"[77, 75, 77, 75, 77, 75]",77,alternating_add_subtract,2
"[46, 20, -6, -32, -58, -84]",-110,arithmetic,3
"[14, 9, 6, 23, 15, 29]",38,padovan,3
"[20, 3, 15, 35, 38, 53]",88,generate_sequence,2
"[38, 3, 4, 45, 52, 101]",198,tribonacci,2
